5,0.002,0.004,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922941.0309183672,9.677024439153145E7,3.589792996142479E10,8,6,7,3,34,15,7,4
6,0.001,0.004,0.1,0.1,0.7,0.8,1,0,0,0,0.1,922983.3559183673,8.984165605153592E7,3.5906509224764786E10,15,2,3,0,31,19,9,10
7,0.001,0.004,0.1,0.1,0.7,0.8,21,-0.025,0,0.1,0,923023.0809183673,8.514184940091899E7,3.5912758306415405E10,11,4,7,2,25,7,19,13
8,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923021.8109183671,7.974864640970516E7,3.591810197940662E10,9,2,7,3,24,17,11,12
9,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923101.5109183673,6.585548822282797E7,3.59351034375935E10,9,4,5,4,12,15,23,16
10,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923167.8459183673,5.8877306643720105E7,3.59446686841726E10,6,3,3,0,19,10,9,6
11,0.001,0.002,0.08403361344537816,0.1,0.8,0.8,0,0,0,0,0,923230.1259183674,5.05375683792205E7,-8000000000000000,7,0,0,0,19,6,4,2
0,0.003,0.008,0.15,0.15,0.5,0.5,29,-0.025,-0.025,0,0.2,922355.7809183671,1.5824234773753545E8,3.581363310807878E10,22,26,32,28,48,53,96,123
1,0.003,0.007,0.125,0.125,0.5,0.7,1,0,0,0,0.1,922078.6709183671,1.557193588106549E8,3.580534880700567E10,14,19,28,30,45,47,77,82
2,0.002,0.006,0.125,0.125,0.5,0.8,33,-0.025,-0.025,0.2,0,922355.335918367,1.4536485537245727E8,3.5826493245443855E10,18,7,16,14,46,28,43,40
3,0.002,0.005,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922599.8559183672,1.2478051310408929E8,3.585661386771223E10,14,11,13,18,45,21,28,24
4,0.002,0.004,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922790.9309183672,1.112016848326664E8,3.587764462098366E10,13,11,5,11,31,21,17,16
5,0.002,0.004,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922926.1709183673,9.446434264175762E7,3.5899656323174576E10,13,5,6,3,24,16,19,15
6,0.001,0.004,0.08745247148288973,0.1,0.7,0.8,18,-0.025,0,0,0,922987.1259183672,9.149424259124145E7,-8000000000000000,12,6,5,2,32,12,12,18
